epoch 0, time = 0.0, error = 66410.9166517
epoch 1, time = 33.823, error = 65027.5829906
epoch 2, time = 30.841, error = 51935.0314619
epoch 3, time = 31.29, error = 18944.9102487
epoch 4, time = 29.257, error = 16838.4889753
epoch 5, time = 28.683, error = 14281.9893127
epoch 6, time = 27.675, error = 16176.775564
epoch 7, time = 27.743, error = 13060.5854715
epoch 8, time = 27.032, error = 13576.3143573
epoch 9, time = 27.702, error = 12559.4633409
epoch 10, time = 27.72, error = 12347.4628221
epoch 11, time = 27.648, error = 10427.0222912
epoch 12, time = 29.721, error = 10756.2335705
epoch 13, time = 27.21, error = 9803.93915389
epoch 14, time = 27.423, error = 10568.4411927
epoch 15, time = 28.506, error = 13297.0893586
epoch 16, time = 28.041, error = 13436.3689661
epoch 17, time = 27.97, error = 12699.1349297
epoch 18, time = 27.926, error = 22478.9046102
epoch 19, time = 27.516, error = 11668.0702527
epoch 20, time = 27.64, error = 10924.3141994
epoch 21, time = 29.979, error = 10222.5126696
epoch 22, time = 27.718, error = 17003.2338029
epoch 23, time = 27.925, error = 10684.5439576
epoch 24, time = 28.14, error = 11403.2086309
epoch 25, time = 27.936, error = 11485.4949106
epoch 26, time = 27.57, error = 16031.2340045
epoch 27, time = 27.033, error = 12840.2187041
epoch 28, time = 27.784, error = 10290.5528877
epoch 29, time = 27.811, error = 13757.5300902
epoch 30, time = 27.969, error = 14086.2225853
epoch 31, time = 27.972, error = 11736.3726681
epoch 32, time = 27.995, error = 10709.1573067
epoch 33, time = 27.966, error = 9950.69100356
epoch 34, time = 27.927, error = 11716.7533681
epoch 35, time = 27.727, error = 15999.4360261
epoch 36, time = 27.929, error = 14173.0327545
epoch 37, time = 27.878, error = 11987.6117029
epoch 38, time = 28.101, error = 12165.3415425
epoch 39, time = 29.204, error = 12291.045986
epoch 40, time = 27.925, error = 14124.421602
epoch 41, time = 30.288, error = 11516.4686853
epoch 42, time = 28.138, error = 12365.7565576
epoch 43, time = 27.863, error = 11124.3481974
epoch 44, time = 28.141, error = 12083.4465298
epoch 45, time = 27.713, error = 13030.5826672
epoch 46, time = 27.992, error = 11694.2673635
epoch 47, time = 28.091, error = 11285.8185192
epoch 48, time = 27.884, error = 13584.3259378
epoch 49, time = 27.652, error = 11484.1896513
epoch 50, time = 28.421, error = 10596.6340818
epoch 51, time = 30.571, error = 9582.67750305
epoch 52, time = 27.809, error = 11099.6188136
epoch 53, time = 28.842, error = 10662.373694
epoch 54, time = 28.226, error = 12656.9073485
epoch 55, time = 28.272, error = 12258.426117
epoch 56, time = 27.977, error = 12580.262029
epoch 57, time = 28.133, error = 16680.2468275
epoch 58, time = 28.664, error = 12581.0080075
epoch 59, time = 27.63, error = 11336.3152103
epoch 60, time = 28.53, error = 12196.0964057
epoch 61, time = 30.507, error = 11538.0221138
epoch 62, time = 28.425, error = 11810.0999177
epoch 63, time = 28.504, error = 13900.4928677
epoch 64, time = 28.082, error = 13461.5136256
epoch 65, time = 29.31, error = 12972.1515529
epoch 66, time = 27.365, error = 11516.7773342
epoch 67, time = 27.519, error = 11956.4658102
epoch 68, time = 27.756, error = 15498.6775504
epoch 69, time = 27.661, error = 11555.3461076
epoch 70, time = 28.085, error = 11990.1876194
epoch 71, time = 27.476, error = 13655.3509648
epoch 72, time = 27.688, error = 9803.5328881
epoch 73, time = 27.967, error = 11457.1577431
epoch 74, time = 28.366, error = 10042.2720998
epoch 75, time = 27.509, error = 15048.193847
epoch 76, time = 28.622, error = 11960.0946454
epoch 77, time = 28.518, error = 17162.0878797
epoch 78, time = 27.838, error = 14791.6585049
epoch 79, time = 28.192, error = 10891.8734189
epoch 80, time = 28.673, error = 10425.4426025
epoch 81, time = 30.136, error = 14573.1935323
epoch 82, time = 27.791, error = 13084.352247
epoch 83, time = 27.898, error = 12269.8740674
epoch 84, time = 28.4, error = 11611.0377663
epoch 85, time = 27.73, error = 10717.4378441
epoch 86, time = 28.037, error = 12204.7361372
epoch 87, time = 27.903, error = 14044.8453388
epoch 88, time = 28.561, error = 11806.3992748
epoch 89, time = 27.905, error = 11521.910712
epoch 90, time = 28.323, error = 13004.492564
epoch 91, time = 27.99, error = 10445.169904
epoch 92, time = 29.542, error = 8822.07046222
epoch 93, time = 28.769, error = 14836.4281196
epoch 94, time = 28.725, error = 10237.7625674
epoch 95, time = 28.099, error = 14063.244129
epoch 96, time = 28.098, error = 9789.84244252
epoch 97, time = 28.226, error = 11681.4457194
epoch 98, time = 28.038, error = 13179.8747609
epoch 99, time = 28.446, error = 10351.6797218
epoch 100, time = 28.215, error = 10561.9727043
epoch 101, time = 29.866, error = 9773.01329339
epoch 102, time = 27.071, error = 12486.0422322
epoch 103, time = 27.811, error = 11905.0911572
epoch 104, time = 28.009, error = 12164.7217315
epoch 105, time = 27.842, error = 11741.2184414
epoch 106, time = 27.796, error = 10156.9329231
epoch 107, time = 28.037, error = 14029.876288
epoch 108, time = 27.809, error = 11639.3086858
epoch 109, time = 27.929, error = 12812.9661148
epoch 110, time = 27.759, error = 12569.8361041
epoch 111, time = 27.922, error = 13343.0341357
epoch 112, time = 27.997, error = 11664.1484107
epoch 113, time = 27.752, error = 16379.4511939
epoch 114, time = 27.885, error = 10084.0023028
epoch 115, time = 28.365, error = 8677.86924626
epoch 116, time = 27.883, error = 16622.5958008
epoch 117, time = 27.823, error = 8971.40275872
epoch 118, time = 29.376, error = 19125.2911285
epoch 119, time = 27.892, error = 9014.20177711
epoch 120, time = 28.118, error = 12623.7274751
epoch 121, time = 27.839, error = 12087.3249487
epoch 122, time = 28.079, error = 12435.2900972
epoch 123, time = 27.695, error = 14777.7377716
epoch 124, time = 27.803, error = 11456.9198623
epoch 125, time = 27.768, error = 9877.57755751
epoch 126, time = 27.894, error = 13681.3029167
epoch 127, time = 27.828, error = 11744.961746
epoch 128, time = 27.874, error = 14561.7821766
epoch 129, time = 27.721, error = 13181.1765654
epoch 130, time = 28.0, error = 9948.88897063
epoch 131, time = 27.633, error = 11144.6494067
epoch 132, time = 27.792, error = 10804.1050283
epoch 133, time = 27.713, error = 13057.2542803
epoch 134, time = 27.918, error = 12830.1444654
epoch 135, time = 27.754, error = 12994.2951317
epoch 136, time = 27.837, error = 14261.6201586
epoch 137, time = 28.308, error = 10747.6498466
epoch 138, time = 28.624, error = 11090.571244
epoch 139, time = 28.182, error = 10128.294654
epoch 140, time = 28.343, error = 10805.7871469
epoch 141, time = 28.287, error = 9465.28791121
epoch 142, time = 28.232, error = 9615.9357674
epoch 143, time = 28.025, error = 13477.289553
epoch 144, time = 28.401, error = 11354.0751265
epoch 145, time = 30.407, error = 11581.5885876
epoch 146, time = 27.486, error = 12160.1947794
epoch 147, time = 28.676, error = 10808.4630424
epoch 148, time = 28.405, error = 10847.4225254
epoch 149, time = 28.682, error = 14019.2291234
epoch 150, time = 28.479, error = 11707.6750734
epoch 151, time = 30.978, error = 8997.77639488
epoch 152, time = 28.792, error = 9239.49891536
epoch 153, time = 28.649, error = 10307.3682163
epoch 154, time = 28.065, error = 11206.972929
epoch 155, time = 28.724, error = 12143.5780841
epoch 156, time = 28.208, error = 12281.5762919
epoch 157, time = 28.438, error = 11302.8326405
epoch 158, time = 28.566, error = 11412.1052737
epoch 159, time = 28.695, error = 9257.16058132
epoch 160, time = 27.896, error = 13004.1761418
epoch 161, time = 29.067, error = 12128.7674836
epoch 162, time = 29.73, error = 10946.0542061
epoch 163, time = 28.627, error = 11590.7919318
epoch 164, time = 28.336, error = 10428.3032983
epoch 165, time = 29.236, error = 12737.2247399
epoch 166, time = 28.632, error = 11741.4797329
epoch 167, time = 29.242, error = 11315.7160325
epoch 168, time = 28.944, error = 9717.30330118
epoch 169, time = 28.854, error = 8745.17628997
epoch 170, time = 29.483, error = 12082.5193111
epoch 171, time = 28.698, error = 11543.9177165
epoch 172, time = 30.329, error = 9807.44702863
epoch 173, time = 28.911, error = 11284.1412653
epoch 174, time = 28.585, error = 12270.0993828
epoch 175, time = 29.102, error = 102480.113838
epoch 176, time = 28.801, error = 16218.143241
epoch 177, time = 28.62, error = 10995.8069384
epoch 178, time = 28.883, error = 8775.62915425
epoch 179, time = 28.336, error = 16217.1040104
epoch 180, time = 28.98, error = 9680.66756694
epoch 181, time = 28.767, error = 12061.4968206
epoch 182, time = 28.526, error = 9554.01519088
epoch 183, time = 28.925, error = 13023.6949401
epoch 184, time = 28.123, error = 9819.82917116
epoch 185, time = 28.89, error = 12140.7196535
epoch 186, time = 28.16, error = 9989.44514511
epoch 187, time = 29.065, error = 10579.6766307
epoch 188, time = 28.484, error = 11574.3844256
epoch 189, time = 29.354, error = 9834.01952221
epoch 190, time = 28.106, error = 8844.24788022
epoch 191, time = 29.083, error = 10972.0222415
epoch 192, time = 28.502, error = 9513.13838715
epoch 193, time = 28.973, error = 11371.9115271
epoch 194, time = 29.142, error = 7461.61277428
epoch 195, time = 29.203, error = 11024.3164671
epoch 196, time = 28.208, error = 8871.07360666
epoch 197, time = 28.939, error = 10232.3454727
epoch 198, time = 29.596, error = 12073.3383738
epoch 199, time = 30.648, error = 7900.52288806
epoch 200, time = 28.584, error = 9241.05906068
epoch 201, time = 31.859, error = 7884.55595778
epoch 202, time = 28.92, error = 11779.2006315
epoch 203, time = 29.123, error = 7859.69630134
epoch 204, time = 28.681, error = 9849.42306958
epoch 205, time = 29.552, error = 9337.77472739
epoch 206, time = 28.697, error = 8841.06257142
epoch 207, time = 28.512, error = 9355.78457447
epoch 208, time = 27.944, error = 9523.5122269
epoch 209, time = 29.151, error = 10318.7622932
epoch 210, time = 28.55, error = 10765.3121285
epoch 211, time = 29.47, error = 10138.7777579
epoch 212, time = 28.915, error = 8776.85157381
epoch 213, time = 28.837, error = 8007.10321661
epoch 214, time = 28.448, error = 9102.91190942
epoch 215, time = 29.426, error = 9808.01559493
epoch 216, time = 28.658, error = 7164.85401054
epoch 217, time = 28.589, error = 7576.92681168
epoch 218, time = 28.559, error = 7942.70710463
epoch 219, time = 29.022, error = 8966.34984549
epoch 220, time = 28.829, error = 8472.43457155
epoch 221, time = 29.403, error = 9304.12519326
epoch 222, time = 29.413, error = 8479.47632364
epoch 223, time = 29.724, error = 9250.99071919
epoch 224, time = 28.547, error = 10942.0878266
epoch 225, time = 30.728, error = 5030.65150362
epoch 226, time = 29.256, error = 8493.58673761
epoch 227, time = 29.507, error = 9267.16731174
epoch 228, time = 29.236, error = 5730.37052907
epoch 229, time = 29.311, error = 7060.5642863
epoch 230, time = 29.18, error = 5814.44559465
epoch 231, time = 30.08, error = 7242.13063307
epoch 232, time = 29.023, error = 5479.83497708
epoch 233, time = 29.572, error = 6808.87138405
epoch 234, time = 29.048, error = 7363.40200687
epoch 235, time = 29.443, error = 6588.80182596
epoch 236, time = 29.101, error = 6234.10671443
epoch 237, time = 29.011, error = 6856.13695991
epoch 238, time = 29.057, error = 6687.79728404
epoch 239, time = 29.009, error = 6148.59756914
epoch 240, time = 28.379, error = 5424.26520313
epoch 241, time = 29.983, error = 6471.82968712
epoch 242, time = 29.024, error = 5228.10968267
epoch 243, time = 29.266, error = 5977.78743772
epoch 244, time = 29.16, error = 5768.00834951
epoch 245, time = 29.863, error = 7264.07963123
epoch 246, time = 29.046, error = 6090.13181081
epoch 247, time = 28.873, error = 8918.81686346
epoch 248, time = 29.549, error = 7399.91956367
epoch 249, time = 29.583, error = 5845.77461037
epoch 250, time = 28.92, error = 6659.27316105
epoch 251, time = 31.83, error = 7706.43726471
epoch 252, time = 30.623, error = 5008.75847564
epoch 253, time = 29.419, error = 4386.06614114
epoch 254, time = 28.67, error = 6122.93465688
epoch 255, time = 29.715, error = 5031.90676483
epoch 256, time = 28.655, error = 5443.8030546
epoch 257, time = 28.941, error = 5113.39264089
